,publication,feed,is_uni_newspaper
370,fortworthweekly,https://www.fwweekly.com/rss,0
371,lockhartpostregister,http://www.post-register.com/rss,0
372,themonitor,https://www.themonitor.com/rss,0
373,themonitorcedarcreek,https://www.themonitor.net/rss.xml,0
374,orangeleader,https://www.orangeleader.com/rss,0
375,pleasantonexpress,https://www.pleasantonexpress.com/rss,0
376,portarthurnews,https://www.panews.com/rss,0
377,sanmarcosdailyrecord,https://www.sanmarcosrecord.com/rss.xml,0
378,uvaldeleadernews,http://uvaldeleadernews.com/rss,0
379,valleymorningstar,https://www.valleymorningstar.com/rss,0
380,thewilsoncountynews,https://www.wilsoncountynews.com/rss,0
381,wisecountymessenger,http://www.wcmessenger.com/rss,0
382,deseretnews,https://www.deseretnews.com/rss.xml,0
383,moab’stimesindependent,https://moabtimes.com/rss,0
384,parkrecord,https://www.parkrecord.com/rss,0
385,transcriptbulletin,http://tooeleonline.com/rss,0
386,addisoncountyindependent,http://www.addisonindependent.com/rss.xml,0
387,bartonchronicle,https://bartonchronicle.com/rss,0
388,theenterprise,https://theenterprise.net/rss,0
389,fallschurchnewspress,https://fcnp.com/rss,0
390,rappahannockrecord,https://rrecord.com/rss,0
391,southsidesentinel,http://www.ssentinel.com/rss,0
392,bainbridgeislandreview,http://www.bainbridgereview.com/rss,0
393,businessexaminer,https://southsoundbiz.com/rss,0
394,camaswashougalpostrecord,https://www.camaspostrecord.com/rss,0
395,centralkitsapreporter,https://www.kitsapdailynews.com/rss,0
396,thecolumbian,https://www.columbian.com/rss,0
397,dailyworld,http://www.thedailyworld.com/rss,0
398,federalwaymirror,http://www.federalwaymirror.com/rss,0
399,theheraldnet,https://www.heraldnet.com/rss,0
400,theislands’sounder,http://www.islandssounder.com/rss,0
401,thejournalofthesanjuanislands,http://www.sanjuanjournal.com/rss,0
402,leavenworthecho,http://www.leavenworthecho.com/rss.xml,0
403,mercerislandreporter,http://www.mi-reporter.com/rss,0
404,methowvalleynews,https://methowvalleynews.com/rss,0
405,northwestasianweekly/theseattlechinesepost,http://nwasianweekly.com/rss,0
406,peninsuladailynews,http://www.peninsuladailynews.com/rss,0
407,rentonreporter,http://www.rentonreporter.com/rss,0
408,theseattletimes,https://www.seattletimes.com/rss,0
409,seattleweekly,https://www.seattleweekly.com/rss,0
410,sequimgazette,http://www.sequimgazette.com/rss,0
411,snoqualmievalleyrecord,http://www.valleyrecord.com/rss,0
412,southwhidbeyrecord,http://www.southwhidbeyrecord.com/rss,0
413,vashonmauryislandbeachcomber,http://www.vashonbeachcomber.com/rss,0
414,vancouverbusinessjournal,https://www.vbjusa.com/rss,0
415,whidbeynewstimes,http://www.whidbeynewstimes.com/rss,0
416,westvirginiapressassociation,https://wvpress.org/rss,0
417,huntingtonnews,http://www.huntingtonnews.net/rss.xml,0
418,themorganmessenger,https://www.morganmessenger.com/rss,0
419,mountainmessenger,https://mountainmessenger.com/rss,0
420,wisconsinnewspaperassociation,https://www.wnanews.com/rss,0
421,thedailyreporter,https://dailyreporter.com/rss,0
422,thereview,https://www.plymouth-review.com/rss,0
423,southwashingtoncountybulletin,https://www.swcbulletin.com/rss,0
424,standardpress,http://myracinecounty.com/rss,0
