publication,feed,is_uni_newspaper
southampton,www.pressnewsgroup.com,0
thesuffolktimes,suffolktimes.timesreview.com,0
thewaveoflongisland,www.rockawave.com,0
wellsvilledailyreporter,www.wellsvilledaily.com,0
chathamjournal,chathamjournal.com,0
thelaurinburgexchange,www.laurinburgexchange.com,0
mitchellnewsjournal,www.mitchellnews.com,0
mountairynews,www.mtairynews.com,0
mountainxpress,mountainx.com,0
rhinotimes,www.rhinotimes.com,0
therobesonian,www.robesonian.com,0
salisburypost,www.salisburypost.com,0
thesampsonindependent,www.clintonnc.com,0
thetaylorsvilletimes,www.taylorsvilletimes.com,0
devilslakedailyjournal,www.devilslakejournal.com,0
theforum,www.inforum.com,0
grandforksherald,www.grandforksherald.com,0
thejamestownsun,www.jamestownsun.com,0
columbusdispatch,www.dispatch.com,0
thedelawaregazette,www.delgazette.com,0
theeatonregisterherald,www.registerherald.com,0
georgetownnewsdemocrat,www.newsdemocrat.com,0
theirontontribune,www.irontontribune.com,0
leaderonline,www.akron.com,0
marysvillejournaltribune,www.marysvillejt.com,0
recordherald,www.recordherald.com,0
repository,www.cantonrep.com,0
thesidneydailynews,www.sidneydailynews.com,0
thisweek,www.thisweeknews.com,0
thetimesgazette,www.timesgazette.com,0
thetimesreporter,www.timesreporter.com,0
thetribunechronicle,www.tribtoday.com,0
urbanadailycitizen,www.urbanacitizen.com,0
wilmingtonnewsjournal,www.wnewsj.com,0
yellowspringsnews,ysnews.com,0
thejournalrecord,journalrecord.com,0
theponcacitynews,www.poncacitynews.com,0
cascadebusinessnews,cascadebusnews.com,0
keizertimes,www.keizertimes.com,0
dailycourier,www.dailycourier.com,0
thefultoncountynews,www.fultoncountynews.com,0
leadertimes,www.leadertimes.com,0
philadelphiaweekly,www.philadelphiaweekly.com,0
pittsburghtribunereview,triblive.com/category/local,0
rocketcourier,www.rocket-courier.com,0
newportthisweek,www.newportthisweek.com,0
providencebusinessnews,pbn.com,0
chronicleindependent,www.chronicle-independent.com,0
columbiastar,www.thecolumbiastar.com,0
thegaffneyledger,www.gaffneyledger.com,0
uniondailytimes,www.uniondailytimes.com,0
themitchelldailyrepublic,www.mitchellrepublic.com,0
freemancourier,www.freemansd.com,0
