,publication,url,article_title,date,is_uni_newspaper
454,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17529/news/former-nsu-head-football-coach-dismissed-from-caldwell-family-lawsuit/,Former NSU head football coach dismissed from Caldwell family lawsuit,2024-07-11,1
455,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17522/showcase/the-current-sauce-wins-state-spj-awards/,The Current Sauce wins state SPJ awards,2024-06-13,1
456,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17513/arts-living/natchitoches-national-fish-hatchery-feature/,Natchitoches National Fish Hatchery works to have a lasting impact on the environment,2024-06-10,1
457,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17511/video/latin-night/,Latin Night,2024-05-13,1
458,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17509/multimedia/burning-conversations-episode-6-finals-success/,Burning Conversations: Episode 6 – Finals Success,2024-05-08,1
459,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17488/current-sauce-e-edition/e-edition-no-124-freshman-connection-spanish-edition/,E-Edition No. 124 Freshman Connection Spanish Edition,2024-05-07,1
460,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/17485/current-sauce-e-edition/e-edition-no-124-freshman-connection-english-edition/,E-Edition No. 124 Freshman Connection English Edition,2024-05-07,1
461,usatoday,https://www.bu.edu/com/articles/data-journalism-project-on-judges-seen-in-propublica-and-good-morning-america/,"COM, CDS Collaboration Leads to Investigation of Judges for ProPublica, Good Morning America",2024-07-16,0
462,usatoday,https://www.bu.edu/com/articles/two-com-reporters-awarded-nachman-writing-prize/,Two COM reporters awarded Nachman Writing prize,2024-05-16,0
463,usatoday,https://www.bu.edu/com/articles/com-ad-students-win-at-young-ones/,COM Ad Students Win at Young Ones,2024-05-15,0
464,usatoday,https://www.bu.edu/com/articles/com-work-earns-top-honors-at-regional-student-production-awards/,COM Work Earns Top Honors at Regional Student Production Awards,2024-05-01,0
465,usatoday,https://www.bu.edu/com/articles/com-photographers-win-top-prizes-at-boston-contest/,COM Photographers Win Top Prizes at Boston Contest,2024-04-30,0
466,usatoday,https://www.bu.edu/com/articles/the-redstone-film-festival-2024-nominees-announced/,The Redstone Film Festival 2024 Nominees Announced,2024-04-16,0
467,usatoday,https://www.bu.edu/com/articles/lights-camera-borrow/,Lights! Camera! Borrow!,2024-04-01,0
468,usatoday,https://www.bu.edu/com/articles/com-student-wins-directors-guild-of-america-student-award/,COM Student Wins Directors Guild of America Student Award,2024-02-27,0
